3001,26,28,11,13,10,12,10,11,12,13,26,28,11,2003-2-23
3002,09,04,26,21,19,20,04,09,19,20,21,26,12,2003-2-27
3003,23,07,28,10,01,32,01,07,10,23,28,32,16,2003-3-2
3004,13,04,07,25,06,10,04,06,07,10,13,25,03,2003-3-6
3005,04,30,17,15,31,06,04,06,15,17,30,31,16,2003-3-9
3006,01,10,27,26,21,03,01,03,10,21,26,27,06,2003-3-13
3007,23,19,09,26,01,21,01,09,19,21,23,26,07,2003-3-16
3008,09,08,17,23,14,05,05,08,09,14,17,23,08,2003-3-20
3009,30,18,09,22,05,20,05,09,18,20,22,30,09,2003-3-23
3010,01,17,24,08,02,13,01,02,08,13,17,24,13,2003-3-27
3011,12,11,30,04,05,32,04,05,11,12,30,32,15,2003-3-30
3012,17,02,12,16,27,30,02,12,16,17,27,30,12,2003-4-3
3013,23,13,08,32,17,21,08,13,17,21,23,32,12,2003-4-6
3014,03,21,07,31,08,05,03,05,07,08,21,31,02,2003-4-10
3015,25,26,04,11,32,19,04,11,19,25,26,32,13,2003-4-13
3016,30,33,11,17,28,31,11,17,28,30,31,33,06,2003-4-17
3017,25,31,18,08,05,23,05,08,18,23,25,31,06,2003-4-20
3018,16,20,05,19,25,28,05,16,19,20,25,28,13,2003-4-24
3019,12,33,13,08,16,04,04,08,12,13,16,33,09,2003-4-27
3020,26,25,27,32,10,07,07,10,25,26,27,32,04,2003-5-1
3021,15,18,30,26,25,14,14,15,18,25,26,30,01,2003-5-4
3022,14,02,32,11,07,12,02,07,11,12,14,32,08,2003-5-8
3023,20,31,22,10,26,01,01,10,20,22,26,31,02,2003-5-11
3024,15,02,30,17,22,07,02,07,15,17,22,30,14,2003-5-15
3025,27,01,14,05,13,11,01,05,11,13,14,27,12,2003-5-18
3026,31,26,13,08,29,15,08,13,15,26,29,31,16,2003-5-22
3027,17,27,11,28,14,01,01,11,14,17,27,28,15,2003-5-25
3028,13,32,16,20,06,28,06,13,16,20,28,32,07,2003-5-29
3029,15,32,07,02,26,29,02,07,15,26,29,32,10,2003-6-1
3030,27,23,06,13,02,14,02,06,13,14,23,27,07,2003-6-5
3031,32,22,17,28,11,20,11,17,20,22,28,32,01,2003-6-8
3032,25,27,04,29,30,11,04,11,25,27,29,30,13,2003-6-12
3033,27,30,20,01,07,14,01,07,14,20,27,30,10,2003-6-15
3034,08,25,16,23,13,14,08,13,14,16,23,25,14,2003-6-19
3035,10,04,05,08,11,03,03,04,05,08,10,11,08,2003-6-22
3036,27,24,21,07,25,28,07,21,24,25,27,28,15,2003-6-26
3037,14,32,26,09,18,17,09,14,17,18,26,32,07,2003-6-29
3038,08,07,24,05,25,27,05,07,08,24,25,27,16,2003-7-3
3039,05,27,24,23,03,32,03,05,23,24,27,32,03,2003-7-6
3040,23,14,04,05,12,06,04,05,06,12,14,23,16,2003-7-10
3041,17,18,24,03,02,25,02,03,17,18,24,25,11,2003-7-13
3042,20,05,10,15,03,07,03,05,07,10,15,20,07,2003-7-17
3043,20,02,08,19,10,32,02,08,10,19,20,32,13,2003-7-20
3044,16,33,32,09,05,02,02,05,09,16,32,33,15,2003-7-24
3045,03,15,17,07,32,14,03,07,14,15,17,32,03,2003-7-27
3046,11,10,07,08,17,26,07,08,10,11,17,26,11,2003-7-31
3047,03,32,17,26,33,28,03,17,26,28,32,33,16,2003-8-3
3048,31,28,30,20,12,10,10,12,20,28,30,31,09,2003-8-7
3049,24,25,13,03,06,07,03,06,07,13,24,25,15,2003-8-10
3050,24,23,26,02,17,08,02,08,17,23,24,26,13,2003-8-14
3051,13,04,17,24,27,15,04,13,15,17,24,27,01,2003-8-17
3052,01,30,12,13,31,23,01,12,13,23,30,31,11,2003-8-21
3053,20,29,19,21,28,15,15,19,20,21,28,29,13,2003-8-24
3054,09,02,33,21,31,05,02,05,09,21,31,33,12,2003-8-28
3055,28,13,16,06,31,21,06,13,16,21,28,31,16,2003-8-31
3056,17,08,28,29,21,26,08,17,21,26,28,29,07,2003-9-4
3057,25,31,18,24,30,19,18,19,24,25,30,31,16,2003-9-7
3058,11,32,33,16,09,28,09,11,16,28,32,33,02,2003-9-11
3059,06,05,03,30,18,02,02,03,05,06,18,30,04,2003-9-14
3060,06,28,04,17,02,21,02,04,06,17,21,28,11,2003-9-18
3061,28,20,32,21,05,03,03,05,20,21,28,32,02,2003-9-21
3062,12,06,01,20,19,32,01,06,12,19,20,32,14,2003-9-25
3063,08,09,33,05,14,21,05,08,09,14,21,33,11,2003-9-28
3064,04,30,06,15,08,12,04,06,08,12,15,30,01,2003-10-2
3065,30,06,15,16,17,33,06,15,16,17,30,33,11,2003-10-5
3066,32,20,07,03,08,24,03,07,08,20,24,32,14,2003-10-9
3067,13,12,31,11,27,05,05,11,12,13,27,31,10,2003-10-12
3068,27,09,25,32,19,33,09,19,25,27,32,33,11,2003-10-16
3069,16,28,19,07,11,26,07,11,16,19,26,28,11,2003-10-19
3070,17,02,01,18,04,19,01,02,04,17,18,19,08,2003-10-23
3071,11,09,33,12,14,15,09,11,12,14,15,33,11,2003-10-26
3072,27,03,19,06,08,11,03,06,08,11,19,27,11,2003-10-30
3073,21,23,14,12,02,30,02,12,14,21,23,30,13,2003-11-2
3074,32,12,02,22,19,27,02,12,19,22,27,32,01,2003-11-6
3075,17,22,31,33,16,19,16,17,19,22,31,33,11,2003-11-9
3076,13,18,29,20,01,16,01,13,16,18,20,29,02,2003-11-13
3077,24,16,12,04,22,25,04,12,16,22,24,25,06,2003-11-16
3078,26,23,30,12,29,07,07,12,23,26,29,30,11,2003-11-20
3079,23,31,22,12,26,15,12,15,22,23,26,31,04,2003-11-23
3080,24,28,20,09,30,25,09,20,24,25,28,30,10,2003-11-27
3081,01,02,29,26,30,14,01,02,14,26,29,30,07,2003-11-30
3082,18,30,31,07,17,19,07,17,18,19,30,31,14,2003-12-4
3083,28,01,18,14,03,26,01,03,14,18,26,28,01,2003-12-7
3084,07,17,10,02,06,33,02,06,07,10,17,33,03,2003-12-11
3085,19,01,04,12,11,27,01,04,11,12,19,27,14,2003-12-14
3086,18,30,16,05,26,12,05,12,16,18,26,30,13,2003-12-18
3087,05,02,04,24,28,03,02,03,04,05,24,28,13,2003-12-21
3088,10,21,24,03,33,22,03,10,21,22,24,33,12,2003-12-25
3089,26,19,21,33,27,18,18,19,21,26,27,33,16,2003-12-28
4001,07,02,03,25,01,10,01,02,03,07,10,25,07,2004-1-1
4002,12,10,31,22,30,18,10,12,18,22,30,31,11,2004-1-4
4003,06,03,05,26,33,17,03,05,06,17,26,33,08,2004-1-8
4004,29,23,19,10,25,22,10,19,22,23,25,29,09,2004-1-11
4005,17,09,16,13,18,11,09,11,13,16,17,18,07,2004-1-15
4006,12,20,23,32,18,04,04,12,18,20,23,32,06,2004-1-18
4007,25,12,17,28,20,04,04,12,17,20,25,28,09,2004-1-29
4008,01,33,32,22,10,07,01,07,10,22,32,33,13,2004-2-1
4009,16,10,09,24,01,22,01,09,10,16,22,24,11,2004-2-5
4010,19,07,14,13,08,06,06,07,08,13,14,19,15,2004-2-8
4011,28,13,04,01,23,30,01,04,13,23,28,30,03,2004-2-12
4012,31,33,07,30,01,27,01,07,27,30,31,33,08,2004-2-15
4013,21,29,14,12,30,32,12,14,21,29,30,32,13,2004-2-19
4014,07,26,11,03,20,17,03,07,11,17,20,26,12,2004-2-22
4015,22,23,01,05,18,03,01,03,05,18,22,23,13,2004-2-26
4016,30,32,04,28,08,07,04,07,08,28,30,32,05,2004-2-29
4017,15,31,25,12,14,05,05,12,14,15,25,31,09,2004-3-4
4018,05,06,28,08,02,30,02,05,06,08,28,30,06,2004-3-7
4019,11,24,32,23,05,10,05,10,11,23,24,32,04,2004-3-11
4020,22,01,31,02,28,09,01,02,09,22,28,31,04,2004-3-14
4021,26,05,09,27,17,11,05,09,11,17,26,27,10,2004-3-18
4022,30,14,10,03,20,19,03,10,14,19,20,30,06,2004-3-21
4023,30,14,19,01,08,17,01,08,14,17,19,30,03,2004-3-25
4024,25,21,13,32,23,01,01,13,21,23,25,32,06,2004-3-28
4025,33,10,08,29,24,07,07,08,10,24,29,33,04,2004-4-1
4026,28,04,10,32,18,14,04,10,14,18,28,32,15,2004-4-4
4027,05,32,01,09,10,18,01,05,09,10,18,32,11,2004-4-8
4028,10,02,01,03,05,22,01,02,03,05,10,22,12,2004-4-11
4029,13,32,22,24,20,09,09,13,20,22,24,32,05,2004-4-15
4030,26,17,01,31,09,07,01,07,09,17,26,31,05,2004-4-18
4031,21,24,19,06,20,03,03,06,19,20,21,24,11,2004-4-22
4032,02,15,08,31,11,05,02,05,08,11,15,31,13,2004-4-25
4033,04,09,08,20,01,19,01,04,08,09,19,20,01,2004-4-29
4034,02,20,07,30,13,27,02,07,13,20,27,30,14,2004-5-2
4035,08,30,27,32,26,02,02,08,26,27,30,32,16,2004-5-6
4036,02,13,26,30,18,17,02,13,17,18,26,30,01,2004-5-9
4037,26,04,11,17,20,03,03,04,11,17,20,26,05,2004-5-13
4038,29,11,25,17,16,28,11,16,17,25,28,29,07,2004-5-16
4039,29,25,18,16,10,26,10,16,18,25,26,29,03,2004-5-20
4040,07,29,21,17,19,20,07,17,19,20,21,29,11,2004-5-23
4041,17,25,29,22,10,08,08,10,17,22,25,29,14,2004-5-27
4042,06,10,21,17,13,18,06,10,13,17,18,21,02,2004-5-30
4043,09,10,24,21,04,22,04,09,10,21,22,24,10,2004-6-3
4044,12,06,07,31,32,02,02,06,07,12,31,32,05,2004-6-6
4045,26,01,18,27,12,28,01,12,18,26,27,28,13,2004-6-10
4046,15,16,23,07,32,22,07,15,16,22,23,32,14,2004-6-13
4047,08,27,31,11,01,07,01,07,08,11,27,31,06,2004-6-17
4048,29,11,08,17,09,16,08,09,11,16,17,29,09,2004-6-20
4049,14,11,25,12,29,16,11,12,14,16,25,29,09,2004-6-24
4050,19,25,06,07,21,29,06,07,19,21,25,29,02,2004-6-27
4051,29,10,15,09,02,03,02,03,09,10,15,29,11,2004-7-1
4052,15,29,17,01,14,12,01,12,14,15,17,29,09,2004-7-4
4053,25,04,02,09,24,03,02,03,04,09,24,25,02,2004-7-8
4054,09,28,11,16,14,27,09,11,14,16,27,28,11,2004-7-11
4055,32,25,08,19,06,29,06,08,19,25,29,32,07,2004-7-15
4056,20,01,30,29,25,21,01,20,21,25,29,30,02,2004-7-18
4057,25,23,28,05,32,21,05,21,23,25,28,32,04,2004-7-22
4058,12,27,01,08,31,11,01,08,11,12,27,31,12,2004-7-25
4059,11,23,04,26,07,19,04,07,11,19,23,26,10,2004-7-29
4060,27,24,28,11,03,05,03,05,11,24,27,28,15,2004-8-1
4061,16,23,19,13,33,20,13,16,19,20,23,33,09,2004-8-5
4062,01,27,25,28,29,12,01,12,25,27,28,29,13,2004-8-8
4063,16,07,28,13,10,27,07,10,13,16,27,28,07,2004-8-12
4064,18,14,15,31,20,27,14,15,18,20,27,31,04,2004-8-15
4065,13,14,32,29,33,27,13,14,27,29,32,33,08,2004-8-19
4066,23,24,25,13,05,20,05,13,20,23,24,25,03,2004-8-22
4067,06,01,13,32,16,07,01,06,07,13,16,32,04,2004-8-24
4068,31,11,24,02,13,08,02,08,11,13,24,31,15,2004-8-26
4069,02,20,29,22,11,15,02,11,15,20,22,29,05,2004-8-29
4070,21,33,30,10,22,12,10,12,21,22,30,33,06,2004-8-31
4071,21,03,08,16,17,29,03,08,16,17,21,29,06,2004-9-2
4072,33,30,15,28,08,18,08,15,18,28,30,33,14,2004-9-5
4073,16,07,23,28,02,13,02,07,13,16,23,28,16,2004-9-7
4074,19,26,06,15,05,29,05,06,15,19,26,29,13,2004-9-9
4075,27,07,21,18,26,28,07,18,21,26,27,28,07,2004-9-12
4076,17,13,03,25,05,31,03,05,13,17,25,31,07,2004-9-14
4077,08,10,09,26,14,16,08,09,10,14,16,26,07,2004-9-16
4078,04,24,21,26,10,05,04,05,10,21,24,26,05,2004-9-19
4079,13,30,07,14,19,17,07,13,14,17,19,30,03,2004-9-21
